window_start,request_count,success_count,error_count,status_401_count,status_403_count,status_429_count,avg_latency,max_latency,unique_routes,error_rate,unauthorized_rate,throttle_rate,forbidden_rate,success_rate,requests_per_route,avg_gap_seconds,min_gap_seconds,latency_std,post_ratio,login_ratio,unique_status_codes,route_entropy,route_switches_ratio,repeated_route_ratio,label,attack_type,prev_requests_per_route,delta_requests_per_route,rolling2_unique_routes,rolling2_route_entropy,rolling2_error_rate
2025-01-01 00:00:00,2,2,0,0,0,0,84.5,105,1,0.0,0.0,0.0,0.0,1.0,2.0,28.0,28.0,20.5,0.0,0.0,1,-0.0,0.0,0.5,0,normal,0.0,2.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,70.0,70,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,2,0,2,1,1,0,57.5,85,1,1.0,0.5,0.0,0.5,0.0,2.0,103.0,103.0,27.5,0.0,0.0,2,-0.0,0.0,0.5,0,normal,0.0,2.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,57.0,57,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,86.0,86,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,2,2,0,0,0,0,64.0,84,2,0.0,0.0,0.0,0.0,1.0,1.0,66.0,66.0,20.0,0.0,0.0,1,1.0,1.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,2,0,2,0,0,0,64.5,77,2,1.0,0.0,0.0,0.0,0.0,1.0,78.0,78.0,12.5,0.5,0.5,1,1.0,1.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,64.0,64,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,3,3,0,0,0,0,75.33,78,2,0.0,0.0,0.0,0.0,1.0,1.5,93.5,46.0,2.05,0.0,0.0,1,0.9183,0.5,0.3333,0,normal,0.0,1.5,0.0,0.0,0.0
2025-01-01 00:00:00,4,3,1,1,0,0,83.75,102,3,0.25,0.25,0.0,0.0,0.75,1.33,17.33,11.0,17.95,0.25,0.25,3,1.5,1.0,0.25,0,normal,0.0,1.33,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,80.0,80,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,55.0,55,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,98.0,98,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,1,0,0,0,0,84.0,84,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:00:00,1,0,1,1,0,0,88.0,88,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,2,2,0,0,0,0,75.5,88,1,0.0,0.0,0.0,0.0,1.0,2.0,61.0,61.0,12.5,0.0,0.0,1,-0.0,0.0,0.5,0,normal,0.0,2.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,120.0,120,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,2,2,0,0,0,0,66.5,74,2,0.0,0.0,0.0,0.0,1.0,1.0,113.0,113.0,7.5,0.0,0.0,2,1.0,1.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,0,1,0,0,0,49.0,49,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,2,2,0,0,0,0,65.0,70,1,0.0,0.0,0.0,0.0,1.0,2.0,151.0,151.0,5.0,0.0,0.0,1,-0.0,0.0,0.5,0,normal,0.0,2.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,88.0,88,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,72.0,72,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,3,3,0,0,0,0,64.67,128,2,0.0,0.0,0.0,0.0,1.0,1.5,91.0,12.0,44.81,0.0,0.0,1,0.9183,1.0,0.3333,0,normal,0.0,1.5,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,44.0,44,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,1.5,-0.5,2.0,0.9183,0.0
2025-01-01 00:05:00,1,0,1,1,0,0,83.0,83,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,2.0,1.0,0.0
2025-01-01 00:05:00,1,0,1,0,0,1,34.0,34,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,3,2,1,1,0,0,61.67,64,2,0.3333,0.3333,0.0,0.0,0.6667,1.5,75.5,7.0,1.7,0.3333,0.3333,2,0.9183,1.0,0.3333,0,normal,2.0,-0.5,1.0,-0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,100.0,100,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,85.0,85,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:05:00,2,2,0,0,0,0,38.5,41,2,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,2.5,0.5,0.0,1,1.0,1.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,2,2,0,0,0,0,40.0,64,2,0.0,0.0,0.0,0.0,1.0,1.0,43.0,43.0,24.0,0.5,0.0,1,1.0,1.0,0.0,0,normal,1.33,-0.33000000000000007,3.0,1.5,0.25
2025-01-01 00:05:00,2,0,2,0,1,0,87.5,97,2,1.0,0.0,0.0,0.5,0.0,1.0,19.0,19.0,9.5,0.5,0.0,2,1.0,1.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,101.0,101,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,55.0,55,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,100.0,100,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:05:00,1,1,0,0,0,0,95.0,95,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,0,1,1,0,0,102.0,102,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.5,0.45915,0.0
2025-01-01 00:10:00,2,2,0,0,0,0,99.5,116,1,0.0,0.0,0.0,0.0,1.0,2.0,27.0,27.0,16.5,0.0,0.0,1,-0.0,0.0,0.5,0,normal,1.0,1.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,1,0,0,0,0,56.0,56,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:10:00,1,1,0,0,0,0,101.0,101,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,1,0,0,0,0,80.0,80,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:10:00,1,0,1,0,1,0,40.0,40,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
2025-01-01 00:10:00,2,1,1,0,1,0,61.0,69,2,0.5,0.0,0.0,0.5,0.5,1.0,85.0,85.0,8.0,0.5,0.0,2,1.0,1.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,1,0,0,0,0,60.0,60,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0,0.0,0.0,0,normal,2.0,-1.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,0,1,0,0,0,58.0,58,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,1.0,0.0,1.0,-0.0,0.0
2025-01-01 00:10:00,1,1,0,0,0,0,94.0,94,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.0,0.0,0.0,0,normal,0.0,1.0,0.0,0.0,0.0
